transaction_id,client_id,portfolio_id,transaction_date,transaction_type,amount_usd,original_currency,fx_rate_applied,asset_class,fee_amount_usd,fee_type,rm_id,notes
63,2,3,2022-07-27,Fee,-4744.06,SGD,1.316806,Fixed Income,4744.06,Advisory Fee,Chen Jing,
64,2,3,2022-11-02,Inflow,566888.25,SGD,1.309314,Structured Products,,,Chen Jing,
65,2,3,2023-01-30,Fee,-12178.43,SGD,1.354088,Alternatives,12178.43,Transaction Fee,Chen Jing,
66,2,3,2024-06-23,Inflow,516414.93,SGD,1.332836,Fixed Income,,,Chen Jing,
67,2,3,2023-02-27,Inflow,476845.66,SGD,1.310632,Structured Products,,,Chen Jing,
68,2,3,2024-08-30,Inflow,155830.97,SGD,1.313174,Structured Products,,,Chen Jing,
69,2,3,2022-10-19,Fee,-10780.97,SGD,1.370432,Cash,10780.97,Management Fee,Chen Jing,
70,2,3,2025-11-14,Dividend,36904.15,SGD,1.317214,Alternatives,,,Chen Jing,
71,2,3,2025-03-11,FX-Conversion,-65886.64,SGD,1.366561,Cash,,,Chen Jing,
72,2,3,2025-02-27,Inflow,641218.47,SGD,1.314423,Structured Products,,,Chen Jing,
73,2,3,2025-06-27,Fee,-12223.87,SGD,1.373957,Fixed Income,12223.87,Advisory Fee,Chen Jing,
74,2,3,2025-02-18,Fee,-8224.74,SGD,1.308529,Fixed Income,8224.74,Performance Fee,Chen Jing,
75,2,3,2022-12-04,Fee,-11763.61,SGD,1.348483,Structured Products,11763.61,Performance Fee,Chen Jing,
76,2,3,2022-10-14,Fee,-10786.25,SGD,1.307292,Structured Products,10786.25,Management Fee,Chen Jing,
77,2,4,2023-07-22,Rebalance,65504.36,SGD,1.371916,Structured Products,,,Chen Jing,
78,2,4,2025-03-30,Fee,-8500.07,SGD,1.318251,Alternatives,8500.07,Transaction Fee,Chen Jing,
79,2,4,2025-07-12,Interest,11266.62,SGD,1.364492,Cash,,,Chen Jing,
80,2,4,2023-05-17,Fee,-5702.15,SGD,1.372971,Alternatives,5702.15,Performance Fee,Chen Jing,
81,2,4,2023-04-18,Outflow,-182904.23,SGD,1.314997,Structured Products,,,Chen Jing,
82,2,4,2022-11-12,Fee,-6002.01,SGD,1.352426,Equities,6002.01,Transaction Fee,Chen Jing,
83,2,4,2024-08-05,Fee,-3434.14,SGD,1.320809,Equities,3434.14,Advisory Fee,Chen Jing,
84,2,4,2025-10-30,Fee,-6650.11,SGD,1.3605,Alternatives,6650.11,Transaction Fee,Chen Jing,
85,2,4,2025-02-21,Fee,-5739.62,SGD,1.344751,Structured Products,5739.62,Advisory Fee,Chen Jing,
86,2,4,2025-07-15,Outflow,-237869.57,SGD,1.362045,Alternatives,,,Chen Jing,
87,2,4,2025-01-21,Dividend,6924.61,SGD,1.318274,Private Credit,,,Chen Jing,
88,2,4,2023-09-25,Inflow,217850.12,SGD,1.32701,Structured Products,,,Chen Jing,
89,2,4,2025-11-29,Dividend,17950.82,SGD,1.312723,Private Credit,,,Chen Jing,
90,2,4,2022-11-08,Interest,13539.59,SGD,1.34806,Fixed Income,,,Chen Jing,
91,2,4,2023-04-27,Inflow,205393.89,SGD,1.348766,Fixed Income,,,Chen Jing,
92,2,4,2024-12-24,Rebalance,22793.12,SGD,1.341689,Cash,,,Chen Jing,
93,2,4,2023-02-23,Rebalance,28058.26,SGD,1.335093,Fixed Income,,,Chen Jing,
94,2,4,2023-12-16,Rebalance,-42798.7,SGD,1.302502,Structured Products,,,Chen Jing,
95,2,4,2025-09-08,Fee,-6673.4,SGD,1.328723,Fixed Income,6673.4,Management Fee,Chen Jing,
96,2,4,2022-10-29,FX-Conversion,99363.43,SGD,1.362486,Equities,,,Chen Jing,
97,2,4,2024-10-21,Dividend,15686.12,SGD,1.341427,Cash,,,Chen Jing,
98,2,4,2023-03-18,Rebalance,-43101.24,SGD,1.366513,Structured Products,,,Chen Jing,
99,2,4,2024-10-10,Outflow,-123598.12,SGD,1.37723,Alternatives,,,Chen Jing,
100,2,4,2025-05-17,Rebalance,-99069.71,SGD,1.313873,Structured Products,,,Chen Jing,
101,2,4,2025-08-30,Inflow,260846.85,SGD,1.327133,Equities,,,Chen Jing,
102,2,4,2023-06-25,Interest,21127.58,SGD,1.365177,Alternatives,,,Chen Jing,
103,2,4,2024-03-24,Dividend,15256.27,SGD,1.361705,Cash,,,Chen Jing,
104,2,4,2024-09-23,FX-Conversion,36318.93,SGD,1.371881,Cash,,,Chen Jing,
105,2,4,2022-12-24,Fee,-2820.47,SGD,1.354224,Alternatives,2820.47,Performance Fee,Chen Jing,
106,2,4,2024-02-11,Interest,22615.98,SGD,1.341327,Cash,,,Chen Jing,
107,2,4,2022-11-17,Dividend,9348.06,SGD,1.307278,Alternatives,,,Chen Jing,
108,2,4,2024-09-28,Inflow,249694.7,SGD,1.328224,Fixed Income,,,Chen Jing,
109,2,4,2024-05-02,Inflow,336247.71,SGD,1.372958,Private Credit,,,Chen Jing,
110,2,4,2025-08-15,Dividend,18488.13,SGD,1.369968,Fixed Income,,,Chen Jing,
111,2,4,2023-12-26,Inflow,400455.77,SGD,1.328425,Fixed Income,,,Chen Jing,
112,2,4,2023-06-04,Inflow,333190.75,SGD,1.353139,Equities,,,Chen Jing,
113,2,4,2022-11-11,Interest,22663.77,SGD,1.36798,Structured Products,,,Chen Jing,
114,2,4,2024-11-27,Dividend,21540.48,SGD,1.370631,Cash,,,Chen Jing,
115,2,4,2024-05-13,Fee,-4317.02,SGD,1.360114,Structured Products,4317.02,Performance Fee,Chen Jing,
116,2,4,2023-07-18,Inflow,250434.14,SGD,1.343278,Cash,,,Chen Jing,
117,2,4,2025-08-23,Outflow,-302347.36,SGD,1.336559,Private Credit,,,Chen Jing,
118,2,4,2023-07-02,Dividend,10612.47,SGD,1.300477,Cash,,,Chen Jing,
119,2,4,2024-01-03,Outflow,-155841.67,SGD,1.349067,Equities,,,Chen Jing,
120,2,4,2024-04-12,Inflow,149370.24,SGD,1.337696,Alternatives,,,Chen Jing,
121,2,4,2024-09-30,Outflow,-187879.01,SGD,1.333495,Cash,,,Chen Jing,
122,2,4,2024-11-29,Outflow,-140943.96,SGD,1.314263,Cash,,,Chen Jing,
123,2,4,2023-07-24,FX-Conversion,-54286.65,SGD,1.30783,Private Credit,,,Chen Jing,
124,2,4,2024-05-03,Interest,12799.45,SGD,1.330423,Structured Products,,,Chen Jing,
125,2,4,2023-08-23,Interest,7496.12,SGD,1.364576,Private Credit,,,Chen Jing,
126,2,4,2023-10-25,Fee,-9349.53,SGD,1.362941,Fixed Income,9349.53,Advisory Fee,Chen Jing,
127,2,4,2024-07-04,Outflow,-65516.5,SGD,1.307758,Structured Products,,,Chen Jing,
128,2,4,2023-09-28,Inflow,249687.98,SGD,1.350441,Alternatives,,,Chen Jing,
129,2,4,2025-05-07,Dividend,11462.57,SGD,1.344852,Alternatives,,,Chen Jing,
130,2,4,2024-04-08,Outflow,-89430.09,SGD,1.369536,Cash,,,Chen Jing,
131,3,5,2022-01-30,Fee,-3032.99,CNY,7.44824,Private Credit,3032.99,Performance Fee,Isabella Cruz,
132,3,5,2023-01-16,Outflow,-108520.77,CNY,7.359349,Private Credit,,,Isabella Cruz,
133,3,5,2024-11-11,Rebalance,22732.75,CNY,7.224254,Cash,,,Isabella Cruz,
134,3,5,2021-06-23,Rebalance,61543.43,CNY,7.169361,Private Credit,,,Isabella Cruz,
135,3,5,2024-05-22,Interest,2709.36,CNY,7.172071,Equities,,,Isabella Cruz,
136,3,5,2023-05-15,Outflow,-131448.84,CNY,7.285779,Alternatives,,,Isabella Cruz,
137,3,5,2024-04-14,Outflow,-139536.08,CNY,7.430602,Cash,,,Isabella Cruz,
138,3,5,2025-09-10,FX-Conversion,-66536.38,CNY,7.39387,Cash,,,Isabella Cruz,
139,3,5,2021-04-03,Dividend,4129.73,CNY,7.345939,Private Credit,,,Isabella Cruz,
140,3,5,2020-09-30,Inflow,66049.71,CNY,7.050511,Cash,,,Isabella Cruz,
141,3,5,2025-02-27,Fee,-3409.01,CNY,7.067946,Equities,3409.01,Management Fee,Isabella Cruz,
142,3,5,2021-08-05,Inflow,98202.53,CNY,7.130269,Cash,,,Isabella Cruz,
143,3,5,2023-01-14,Fee,-1434.31,CNY,7.035211,Fixed Income,1434.31,Performance Fee,Isabella Cruz,
144,3,5,2023-11-08,Rebalance,72848.23,CNY,7.225749,Alternatives,,,Isabella Cruz,
145,3,5,2025-11-30,Rebalance,-11031.01,CNY,7.443969,Structured Products,,,Isabella Cruz,
146,3,5,2025-11-24,Inflow,121133.28,CNY,7.348127,Structured Products,,,Isabella Cruz,
147,3,5,2024-09-23,Fee,-2676.9,CNY,7.232029,Private Credit,2676.9,Advisory Fee,Isabella Cruz,
148,3,5,2022-05-26,Interest,4592.56,CNY,7.201861,Cash,,,Isabella Cruz,
149,3,5,2021-08-06,Outflow,-109996.47,CNY,7.352203,Equities,,,Isabella Cruz,
150,3,5,2021-05-19,Outflow,-111347.31,CNY,7.321567,Cash,,,Isabella Cruz,
151,3,5,2025-05-14,Rebalance,-40077.9,CNY,7.355494,Cash,,,Isabella Cruz,
152,3,5,2023-02-19,Fee,-2721.44,CNY,7.201658,Equities,2721.44,Performance Fee,Isabella Cruz,
153,3,5,2024-10-02,Outflow,-131965.26,CNY,7.303418,Fixed Income,,,Isabella Cruz,
154,3,5,2024-02-04,Inflow,115788.42,CNY,7.126866,Equities,,,Isabella Cruz,
155,3,5,2022-11-25,Outflow,-110985.64,CNY,7.139576,Private Credit,,,Isabella Cruz,
156,3,5,2021-12-17,Rebalance,-72675.19,CNY,7.070739,Fixed Income,,,Isabella Cruz,
157,3,5,2024-12-16,Dividend,7824.61,CNY,7.236523,Alternatives,,,Isabella Cruz,
158,3,5,2023-06-13,Inflow,201089.88,CNY,7.032414,Equities,,,Isabella Cruz,
159,3,5,2020-12-30,Outflow,-131994.84,CNY,7.338655,Fixed Income,,,Isabella Cruz,
160,3,5,2022-06-18,Inflow,126903.81,CNY,7.171327,Equities,,,Isabella Cruz,
161,3,5,2023-05-07,Interest,10273.65,CNY,7.224225,Cash,,,Isabella Cruz,
162,3,5,2020-03-16,Outflow,-56424.61,CNY,7.359744,Fixed Income,,,Isabella Cruz,
163,3,5,2020-08-26,Fee,-1622.36,CNY,7.377814,Fixed Income,1622.36,Advisory Fee,Isabella Cruz,
164,3,5,2019-12-29,Inflow,88790.41,CNY,7.35782,Private Credit,,,Isabella Cruz,
165,3,5,2024-10-26,Inflow,81033.89,CNY,7.342224,Equities,,,Isabella Cruz,
166,3,5,2020-11-26,Fee,-2488.71,CNY,7.429492,Fixed Income,2488.71,Advisory Fee,Isabella Cruz,
167,3,5,2021-08-18,Dividend,8188.9,CNY,7.261538,Equities,,,Isabella Cruz,
168,3,5,2021-03-22,Outflow,-84257.93,CNY,7.179369,Private Credit,,,Isabella Cruz,
169,3,5,2020-06-08,Rebalance,94654.81,CNY,7.125304,Fixed Income,,,Isabella Cruz,
170,3,5,2024-09-20,Outflow,-141074.22,CNY,7.276792,Fixed Income,,,Isabella Cruz,
171,3,5,2024-04-16,Interest,10033.86,CNY,7.27522,Equities,,,Isabella Cruz,
172,3,5,2025-03-07,Dividend,5115.56,CNY,7.06167,Fixed Income,,,Isabella Cruz,
173,3,5,2021-08-14,Fee,-2938.88,CNY,7.048766,Private Credit,2938.88,Management Fee,Isabella Cruz,
174,3,5,2021-07-30,Dividend,3093.94,CNY,7.123874,Equities,,,Isabella Cruz,
175,3,5,2023-09-30,Interest,8093.94,CNY,7.032076,Cash,,,Isabella Cruz,
176,3,5,2024-02-02,Outflow,-78741.49,CNY,7.039954,Fixed Income,,,Isabella Cruz,
177,3,5,2024-10-04,Fee,-3180.88,CNY,7.268975,Structured Products,3180.88,Performance Fee,Isabella Cruz,
178,3,5,2025-12-12,Outflow,-103699.9,CNY,7.399712,Private Credit,,,Isabella Cruz,
179,3,5,2021-08-25,Inflow,120017.81,CNY,7.378755,Fixed Income,,,Isabella Cruz,
180,3,5,2025-12-04,Outflow,-138956.41,CNY,7.242588,Equities,,,Isabella Cruz,
181,4,6,2023-10-23,Rebalance,71365.86,IDR,16061.663706,Structured Products,,,Priya Menon,
182,4,6,2024-02-10,Outflow,-1577523.1,IDR,15836.930782,Equities,,,Priya Menon,
183,4,6,2024-12-10,Inflow,1499387.47,IDR,15848.791481,Private Credit,,,Priya Menon,
184,4,6,2024-05-10,Outflow,-797238.48,IDR,15417.25097,Private Credit,,,Priya Menon,
185,4,6,2023-02-22,Inflow,570384.44,IDR,15355.647519,Fixed Income,,,Priya Menon,
186,4,6,2023-05-16,Fee,-16229.41,IDR,15949.709353,Equities,16229.41,Transaction Fee,Priya Menon,
187,4,6,2025-09-19,Dividend,59964.92,IDR,15673.303611,Structured Products,,,Priya Menon,
188,4,6,2023-03-03,Inflow,1960233.17,IDR,16206.126726,Fixed Income,,,Priya Menon,
189,4,6,2023-03-21,Fee,-17513.14,IDR,16105.281137,Private Credit,17513.14,Transaction Fee,Priya Menon,
190,4,6,2023-02-05,Interest,92331.23,IDR,16022.116721,Alternatives,,,Priya Menon,
191,4,6,2024-06-22,Inflow,2848240.87,IDR,15418.069049,Fixed Income,,,Priya Menon,
192,4,6,2024-01-25,Fee,-23398.62,IDR,15866.38623,Fixed Income,23398.62,Performance Fee,Priya Menon,
193,4,6,2023-10-10,Fee,-33268.48,IDR,16052.436682,Structured Products,33268.48,Management Fee,Priya Menon,
194,4,6,2024-10-11,Dividend,108476.49,IDR,16162.91717,Private Credit,,,Priya Menon,
195,4,6,2023-09-15,Interest,77223.96,IDR,15645.962201,Structured Products,,,Priya Menon,
196,4,6,2023-08-28,Fee,-34505.3,IDR,16181.555752,Structured Products,34505.3,Advisory Fee,Priya Menon,
197,4,6,2025-11-08,FX-Conversion,68970.8,IDR,15716.901441,Alternatives,,,Priya Menon,
198,4,6,2025-03-08,Interest,101741.0,IDR,15859.861178,Alternatives,,,Priya Menon,
199,4,6,2023-12-21,Outflow,-2199071.18,IDR,15566.876493,Structured Products,,,Priya Menon,
200,4,6,2025-04-22,Fee,-14823.96,IDR,16257.842735,Cash,14823.96,Management Fee,Priya Menon,
201,4,6,2022-11-11,Fee,-15107.23,IDR,15529.652027,Alternatives,15107.23,Performance Fee,Priya Menon,
202,4,6,2024-07-14,Inflow,2445513.26,IDR,16197.318255,Private Credit,,,Priya Menon,
203,4,6,2025-08-21,Fee,-21691.69,IDR,15762.430576,Structured Products,21691.69,Management Fee,Priya Menon,
204,4,6,2023-08-24,Inflow,2641526.52,IDR,15562.864347,Alternatives,,,Priya Menon,
205,4,6,2024-03-16,Interest,97245.9,IDR,15865.47356,Equities,,,Priya Menon,
206,4,6,2023-12-28,Dividend,68113.74,IDR,15783.441448,Private Credit,,,Priya Menon,
207,4,6,2025-07-04,Interest,112933.58,IDR,16102.900471,Private Credit,,,Priya Menon,
208,4,6,2023-04-22,Fee,-16476.28,IDR,15400.396571,Alternatives,16476.28,Transaction Fee,Priya Menon,
209,4,6,2023-01-31,Rebalance,-30413.96,IDR,16100.650332,Alternatives,,,Priya Menon,
210,4,6,2025-02-08,Rebalance,73957.3,IDR,15540.928352,Equities,,,Priya Menon,
211,4,6,2022-11-01,Dividend,74963.72,IDR,15614.934656,Private Credit,,,Priya Menon,
212,4,6,2023-01-01,Outflow,-397091.91,IDR,15802.276727,Structured Products,,,Priya Menon,
213,4,6,2024-01-04,Inflow,2181127.75,IDR,15698.452804,Private Credit,,,Priya Menon,
214,4,6,2025-04-08,Interest,89452.15,IDR,15536.537175,Structured Products,,,Priya Menon,
215,4,6,2024-05-24,Interest,45297.87,IDR,15404.252767,Fixed Income,,,Priya Menon,
216,4,6,2025-12-22,Dividend,76943.55,IDR,15406.65488,Structured Products,,,Priya Menon,
217,4,6,2025-08-01,Fee,-20609.9,IDR,15781.914532,Private Credit,20609.9,Performance Fee,Priya Menon,
218,4,6,2023-11-18,Fee,-40208.52,IDR,15555.714707,Private Credit,40208.52,Performance Fee,Priya Menon,
219,4,6,2024-04-06,Interest,110787.16,IDR,15872.065289,Alternatives,,,Priya Menon,
220,4,6,2023-05-27,Dividend,72922.85,IDR,15506.584275,Cash,,,Priya Menon,
221,4,6,2024-09-13,Fee,-49024.38,IDR,16262.294017,Equities,49024.38,Performance Fee,Priya Menon,
222,4,6,2025-04-01,Dividend,34949.52,IDR,16101.62698,Cash,,,Priya Menon,
223,4,6,2023-11-21,Dividend,119438.78,IDR,16134.42041,Fixed Income,,,Priya Menon,
224,4,6,2023-05-27,Dividend,142101.06,IDR,16204.539751,Fixed Income,,,Priya Menon,
225,4,6,2024-05-20,Inflow,2392913.17,IDR,15615.251911,Private Credit,,,Priya Menon,
226,4,6,2025-05-30,Inflow,2205697.64,IDR,15526.857797,Fixed Income,,,Priya Menon,
227,4,6,2025-11-01,Fee,-39207.13,IDR,15984.927444,Alternatives,39207.13,Performance Fee,Priya Menon,
228,4,6,2022-11-15,Outflow,-1272407.28,IDR,15568.172615,Private Credit,,,Priya Menon,
229,4,6,2023-02-09,Outflow,-1483952.07,IDR,15376.324816,Private Credit,,,Priya Menon,
230,4,6,2022-10-26,Inflow,840341.73,IDR,16133.774632,Private Credit,,,Priya Menon,
231,4,6,2024-10-15,Rebalance,-41500.88,IDR,16163.465395,Equities,,,Priya Menon,
232,4,6,2024-12-08,Inflow,1531405.35,IDR,15998.784981,Cash,,,Priya Menon,
233,4,6,2024-07-16,Fee,-38440.91,IDR,15514.53369,Structured Products,38440.91,Performance Fee,Priya Menon,
234,4,6,2025-05-03,Fee,-15770.34,IDR,16200.31207,Private Credit,15770.34,Performance Fee,Priya Menon,
235,4,6,2024-06-24,Outflow,-1777316.27,IDR,15343.41687,Cash,,,Priya Menon,
236,4,6,2024-09-28,Outflow,-598099.7,IDR,16253.375565,Alternatives,,,Priya Menon,
237,4,6,2025-07-31,Outflow,-1502115.54,IDR,16158.986056,Equities,,,Priya Menon,
238,4,6,2022-12-08,Rebalance,-54883.46,IDR,15650.013273,Alternatives,,,Priya Menon,
239,5,7,2025-10-25,Inflow,127122.59,IDR,16236.654197,Private Credit,,,Chen Jing,
240,5,7,2025-10-13,Rebalance,-54514.4,IDR,15553.862046,Private Credit,,,Chen Jing,
241,5,7,2025-06-18,Fee,-4694.74,IDR,15751.812388,Alternatives,4694.74,Advisory Fee,Chen Jing,
242,5,7,2025-06-12,Inflow,167241.64,IDR,15974.478107,Fixed Income,,,Chen Jing,
243,5,7,2025-06-30,Rebalance,37706.42,IDR,16177.913725,Alternatives,,,Chen Jing,
244,5,7,2025-12-28,Inflow,182415.87,IDR,15861.472384,Fixed Income,,,Chen Jing,
245,5,7,2025-06-19,Outflow,-130704.1,IDR,16008.029599,Structured Products,,,Chen Jing,
246,5,7,2025-06-26,Outflow,-160098.56,IDR,16051.632392,Fixed Income,,,Chen Jing,
247,5,7,2025-12-21,FX-Conversion,-39330.38,IDR,16032.838024,Cash,,,Chen Jing,
248,5,7,2025-12-06,Rebalance,-45240.77,IDR,16064.594275,Private Credit,,,Chen Jing,
249,5,7,2025-06-06,Inflow,203848.31,IDR,15906.158555,Equities,,,Chen Jing,
250,5,7,2025-07-17,Dividend,4843.4,IDR,15546.109042,Structured Products,,,Chen Jing,
251,5,7,2025-11-01,Inflow,188854.65,IDR,15777.818905,Equities,,,Chen Jing,
252,5,7,2025-09-15,Interest,9688.77,IDR,15680.513512,Cash,,,Chen Jing,
253,5,7,2025-12-14,Outflow,-70822.97,IDR,15509.210318,Cash,,,Chen Jing,
254,5,7,2025-05-18,Fee,-4754.03,IDR,15536.981393,Equities,4754.03,Transaction Fee,Chen Jing,
255,5,7,2025-10-28,FX-Conversion,-86772.74,IDR,16204.893839,Fixed Income,,,Chen Jing,
256,5,7,2025-08-30,Rebalance,37572.54,IDR,16147.70261,Cash,,,Chen Jing,
257,5,7,2025-12-23,Inflow,206626.3,IDR,15902.3176,Cash,,,Chen Jing,
258,5,7,2025-12-07,Outflow,-109684.56,IDR,16216.303898,Alternatives,,,Chen Jing,
259,5,7,2025-10-03,Fee,-3681.28,IDR,15819.575338,Structured Products,3681.28,Management Fee,Chen Jing,
260,5,7,2025-09-02,Fee,-4574.05,IDR,15817.730115,Equities,4574.05,Performance Fee,Chen Jing,
261,5,7,2025-08-19,FX-Conversion,11540.19,IDR,15815.288096,Equities,,,Chen Jing,
262,5,7,2025-10-18,FX-Conversion,-41764.13,IDR,15703.341817,Fixed Income,,,Chen Jing,
263,5,7,2025-07-26,Interest,7164.18,IDR,15726.494149,Alternatives,,,Chen Jing,
264,5,7,2025-10-13,Rebalance,3393.93,IDR,15460.843159,Private Credit,,,Chen Jing,
265,5,7,2025-12-08,Dividend,9795.81,IDR,15433.286664,Equities,,,Chen Jing,
266,5,7,2025-11-25,Fee,-3322.54,IDR,15718.054221,Private Credit,3322.54,Transaction Fee,Chen Jing,
267,5,7,2025-09-02,Inflow,169115.14,IDR,16001.577403,Cash,,,Chen Jing,
268,5,7,2025-06-30,Rebalance,-49983.54,IDR,15981.748122,Equities,,,Chen Jing,
269,5,7,2025-12-28,Dividend,9752.78,IDR,15443.119918,Fixed Income,,,Chen Jing,
270,5,7,2025-06-08,Dividend,6173.13,IDR,15822.578806,Private Credit,,,Chen Jing,
271,5,7,2025-08-16,Dividend,8682.18,IDR,15477.584887,Structured Products,,,Chen Jing,
